100000 100000
2 1 85969
3 1 244105
4 1 398201
5 1 522729
6 3 509325
7 5 373157
8 1 446417
9 4 797411
10 3 239978
11 9 313837
12 6 438864
13 2 805183
14 2 580743
15 13 203494
16 8 451819
17 15 609773
18 14 465397
19 7 712390
20 11 518429
21 10 4267
22 5 212686
23 17 669396
24 7 267026
25 7 90689
26 3 549257
27 9 619746
28 10 788062
29 20 57325
30 1 300978
31 1 440824
32 1 870897
33 4 323288
34 1 420824
35 13 199890
36 33 303499
37 32 483358
38 29 130634
39 27 207990
40 27 652263
41 39 421013
42 29 219555
43 8 222343
44 19 982037
45 8 409124
46 20 89542
47 39 68515
48 46 933246
49 10 296730
50 28 460182
51 22 809674
52 40 249831
53 39 828920
54 44 962135
55 5 778123
56 48 851939
57 32 332269
58 2 756245
59 33 595462
60 23 866982
61 57 537648
62 35 887236
63 30 433312
64 24 514315
65 58 690902
66 58 259365
67 43 287232
68 8 309957
69 19 889659
70 17 153059
71 34 402841
72 58 899621
73 45 592843
74 44 322423
75 28 394146
76 32 225592
77 53 178631
78 43 54306
79 55 966012
80 31 341984
81 65 575820
82 38 190192
83 51 626894
84 13 979201
85 1 804943
86 26 217038
87 15 169960
88 48 975595
89 50 288874
90 52 983809
91 22 520126
92 81 647516
93 28 871283
94 87 310698
95 86 303145
96 83 526911
97 84 286732
98 66 742014
99 48 733601
100 18 979234
101 96 402529
102 36 779030
103 20 345632
104 88 367994
105 89 568994
106 12 350228
107 5 593906
108 5 787874
109 77 732269
110 39 818834
111 53 783956
112 76 914377
113 64 62845
114 108 17017
115 90 926660
116 105 367693
117 88 225224
118 72 418027
119 43 417698
120 93 721711
121 11 654174
122 27 592161
123 21 102386
124 79 229619
125 2 511310
126 78 386418
127 17 394196
128 125 398656
129 81 506240
130 28 802542
131 89 928273
132 69 278438
133 108 833307
134 107 240702
135 15 482484
136 78 270399
137 57 67055
138 109 901087
139 28 275298
140 132 520445
141 27 695510
142 80 598223
143 67 240360
144 69 95801
145 23 928902
146 72 695849
147 123 584927
148 124 527022
149 94 670749
150 53 701942
151 34 246488
152 64 322592
153 38 351251
154 47 999333
155 54 387088
156 19 929506
157 117 459342
158 21 721357
159 11 40959
160 25 962651
161 132 231851
162 116 859738
163 18 632784
164 118 784067
165 41 670835
166 113 5820
167 48 974699
168 148 263567
169 78 68442
170 134 468849
171 51 299027
172 44 570829
173 32 442435
174 21 974421
175 7 625694
176 98 485956
177 137 111922
178 43 707026
179 121 248805
180 149 597293
181 171 977099
182 129 869664
183 117 931524
184 182 310450
185 93 396128
186 184 488197
187 176 694005
188 101 486225
189 95 867561
190 2 136183
191 67 430420
192 8 867151
193 133 484183
194 168 319749
195 145 581619
196 97 685329
197 157 36506
198 7 543217
199 89 204573
200 69 697
201 52 149317
202 93 328557
203 1 580621
204 154 496111
205 25 824482
206 110 974139
207 159 287134
208 33 829945
209 37 448168
210 132 537007
211 96 99439
212 18 104854
213 180 293679
214 34 620324
215 26 18089
216 20 615303
217 165 142616
218 207 527077
219 216 791345
220 123 204120
221 186 688183
222 192 387079
223 48 52251
224 113 262984
225 131 399420
226 143 530204
227 212 538678
228 111 667505
229 228 799480
230 105 330607
231 148 425199
232 111 501324
233 22 922473
234 179 807401
235 145 84290
236 113 845994
237 68 222483
238 89 264139
239 89 482799
240 155 775151
241 10 359817
242 233 413780
243 142 973116
244 196 247201
245 183 885464
246 215 106514
247 24 556421
248 36 911180
249 53 152588
250 162 192709
251 229 762804
252 197 42052
253 170 304478
254 240 260019
255 32 866016
256 211 702197
257 232 373227
258 119 640677
259 12 229964
260 155 118936
261 99 498389
262 233 458792
263 175 349637
264 186 533701
265 16 604903
266 11 771804
267 36 797814
268 266 352992
269 247 636397
270 194 405918
271 172 680882
272 25 244596
273 125 256794
274 183 916802
275 199 289501
276 13 634887
277 21 777538
278 259 842697
279 47 980001
280 81 662102
281 55 135509
282 132 985313
283 67 280464
284 234 68317
285 144 984017
286 47 451976
287 124 615053
288 64 235358
289 262 581842
290 238 391307
291 283 704249
292 193 175583
293 26 152575
294 98 641664
295 226 427380
296 258 750182
297 57 286727
298 111 528915
299 174 106501
300 209 516754
301 117 587817
302 149 755415
303 27 665299
304 103 107419
305 212 659283
306 170 634834
307 27 557621
308 147 361669
309 136 861400
310 21 359123
311 279 339801
312 223 851667
313 127 877502
314 279 193717
315 158 494164
316 135 590871
317 44 679198
318 170 801201
319 114 853408
320 21 624339
321 51 440047
322 8 392573
323 295 102293
324 279 707862
325 40 273925
326 136 252470
327 163 725344
328 242 240252
329 133 517421
330 146 103198
331 184 177141
332 237 609916
333 126 556704
334 216 233537
335 280 352438
336 320 439154
337 52 633399
338 139 790150
339 51 102319
340 194 215734
341 55 114051
342 134 506319
343 162 605044
344 223 958590
345 256 213241
346 133 166752
347 133 272207
348 216 279422
349 51 220486
350 94 755374
351 273 887185
352 320 881758
353 71 58956
354 140 288978
355 164 718974
356 33 570220
357 277 521970
358 229 188770
359 203 855812
360 72 282181
361 205 725499
362 7 492137
363 323 741950
364 307 342967
365 279 800868
366 317 535357
367 218 841922
368 227 241339
369 62 121724
370 198 94855
371 128 584082
372 85 190074
373 228 290669
374 210 233064
375 196 42554
376 96 248236
377 260 480527
378 184 282109
379 286 511931
380 214 701262
381 70 756119
382 256 33554
383 306 686435
384 325 531621
385 95 321559
386 48 165208
387 122 840606
388 334 528043
389 94 250475
390 200 794105
391 179 309054
392 139 577432
393 157 299065
394 201 44760
395 187 517319
396 37 156496
397 185 498991
398 97 904180
399 30 464940
400 207 509936
401 50 611332
402 193 724842
403 287 63127
404 393 99562
405 285 530342
406 156 639333
407 80 452358
408 400 661680
409 70 109008
410 342 78768
411 188 452460
412 37 932466
413 299 425312
